"Sample","Taxon","Rank","Genus","Family","Order","n"
"60","Hydrophyllum capitatum","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",2893
"60","Aquilegia sp.","Genus","Aquilegia","Ranunculaceae","Ranunculales",2490
"60","Erigeron sp.","Genus","Erigeron","Asteraceae","Asterales",1459
"60","Nemophila breviflora","Species","Nemophila","Hydrophyllaceae","Boraginales",1299
"65","Mertensia ciliata","Species","Mertensia","Boraginaceae","Boraginales",66636
"65","Mertensia sp.","Genus","Mertensia","Boraginaceae","Boraginales",37559
"65","Mertensia fusiformis","Species","Mertensia","Boraginaceae","Boraginales",34086
"65","Hydrophyllum fendleri","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",15403
"65","Lupinus argenteus","Species","Lupinus","Fabaceae","Fabales",13912
"65","Erigeron sp.","Genus","Erigeron","Asteraceae","Asterales",4722
"65","Hydrophyllum sp.","Genus","Hydrophyllum","Hydrophyllaceae","Boraginales",3912
"65","Arenaria lanuginosa","Species","Arenaria","Caryophyllaceae","Caryophyllales",3319
"65","Cynoglossum officinale","Species","Cynoglossum","Boraginaceae","Boraginales",2969
"65","Lupinus sericeus","Species","Lupinus","Fabaceae","Fabales",2518
"9","Delphinium barbeyi","Species","Delphinium","Ranunculaceae","Ranunculales",40485
"9","Delphinium nuttallianum","Species","Delphinium","Ranunculaceae","Ranunculales",23991
"9","Hydrophyllum capitatum","Species","Hydrophyllum","Hydrophyllaceae","Boraginales",13582
"9","Delphinium sp.","Genus","Delphinium","Ranunculaceae","Ranunculales",12474
"9","Vicia americana","Species","Vicia","Fabaceae","Fabales",4942
"9","Hydrophyllum sp.","Genus","Hydrophyllum","Hydrophyllaceae","Boraginales",1589
"9","Symphyotrichum foliaceum","Species","Symphyotrichum","Asteraceae","Asterales",981
"9","Thalictrum sp.","Genus","Thalictrum","Ranunculaceae","Ranunculales",935
"9","Caltha leptosepala","Species","Caltha","Ranunculaceae","Ranunculales",837
"9","Trollius sp.","Genus","Trollius","Ranunculaceae","Ranunculales",827
